"","Location","Price","Rooms","Car.Parks","Property.Type","Land.Type","Land.Size.Sq.ft","Extra_Rooms"
"41247","Segambut",580000,3,2,"Apartment (Intermediate)","Land area ",855,0
"41248","Segambut",580000,2,1,"Apartment (Intermediate)","Built-up ",850,0
"41249","Segambut",580000,3,2,"Apartment (Intermediate)","Built-up ",853,0
"41250","Segambut",580000,3,2,"Flat","Built-up ",790,0
"41251","Segambut",9e+05,3,2,"Condominium (Intermediate)","Built-up ",1300,0
"41252","Segambut",840000,3,2,"Condominium (Intermediate)","Built-up ",1319,0
"41253","Segambut",850000,3,2,"Condominium (Intermediate)","Built-up ",1319,0
"41254","Segambut",1130000,3,2,"Condominium (Intermediate)","Built-up ",1788,1
"41255","Segambut",850000,3,2,"Condominium (Intermediate)","Built-up ",1319,0
"41256","Segambut",9e+05,3,2,"Condominium (Intermediate)","Built-up ",1300,0
"41257","Segambut",930000,3,2,"Condominium (Intermediate)","Built-up ",1306,0
"41258","Segambut",950000,3,2,"Condominium (Intermediate)","Built-up ",1300,0
"41259","Segambut",9e+05,3,2,"Condominium (Intermediate)","Built-up ",1306,0
"41260","Segambut",660000,3,2,"2-sty Terrace/Link House","Land area ",880,0
"41261","Segambut",580000,3,1,"Apartment","Built-up ",920,0
"41262","Segambut",690000,3,2,"Condominium","Built-up ",1262,1
"41263","Segambut",620000,3,2,"Condominium","Built-up ",1168,0
"41264","Segambut",821000,4,3,"Condominium","Built-up ",1614,0
"41265","Segambut",7e+05,3,2,"Condominium","Built-up ",1203,0
"41266","Segambut",1600000,4,2,"2-sty Terrace/Link House","Built-up ",3234,0
"41267","Segambut",640000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41268","Segambut",695000,3,1,"Condominium (Intermediate)","Built-up ",1021,1
"41269","Segambut",7e+05,3,2,"Condominium (Intermediate)","Built-up ",1021,1
"41270","Segambut",629000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41271","Segambut",688000,3,2,"Condominium","Built-up ",1643,1
"41272","Segambut",580000,3,2,"Apartment","Built-up ",1100,0
"41273","Segambut",580000,3,2,"Apartment","Built-up ",1100,0
"41274","Segambut",580000,3,1,"Apartment","Built-up ",1142,0
"41275","Segambut",610000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41276","Segambut",2449000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",2040,1
"41277","Segambut",620000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41278","Segambut",750000,2,2,"Condominium (Intermediate)","Built-up ",1021,0
"41279","Segambut",850000,3,2,"Condominium (Intermediate)","Built-up ",1262,1
"41280","Segambut",1552800,5,2,"Condominium (Corner)","Built-up ",2241,1
